"idlinha";"nome";"codigo";"tipo"
114633;"HOSPITAL CONCEICAO-IGUATEMI";"60.21-2";"L"
114632;"HOSPITAL CONCEICAO-IGUATEMI";"60.21-1";"L"
114631;"HOSPITAL CONCEICAO-VILA IPIRANGA";"60.2-2";"L"
114630;"HOSPITAL CONCEICAO-VILA IPIRANGA";"60.2-1";"L"
114629;"SARANDI/ASSIS BRASIL";"60.1-2";"L"
114628;"SARANDI/ASSIS BRASIL";"60.1-1";"L"
114627;"HIGIENOPOLIS-HOSPITAL MILITAR";"50.81-2";"L"
114626;"HIGIENOPOLIS-HOSPITAL MILITAR";"50.81-1";"L"
114625;"HIGIENOPOLIS - BENJAMIN CONSTANT";"50.8-2";"L"
114624;"HIGIENOPOLIS - BENJAMIN CONSTANT";"50.8-1";"L"
114623;"GUERINO/LINDÓIA/AUXILIADORA";"50.61-1";"L"
114622;"GUERINO/LINDÓIA";"50.6-2";"L"
114621;"GUERINO/LINDÓIA";"50.6-1";"L"
114620;"MONSERRAT - IPA";"50.31-2";"L"
114619;"MONSERRAT - IPA";"50.31-1";"L"
114618;"MONTSERRAT-ANITA";"50.3-2";"L"
114617;"MONTSERRAT-ANITA";"50.3-1";"L"
114616;"IAPI - AUXILIADORA";"50.2-1";"L"
114615;"AUXILIADORA - ANITA";"50.11-1";"L"
114614;"AUXILIADORA";"50.1-1";"L"
114613;"CHACARA DAS PEDRAS/3 FIGUEIRAS";"40.51-2";"L"
114612;"CHACARA DAS PEDRAS/3 FIGUEIRAS";"40.51-1";"L"
114611;"CHACARA DAS PEDRAS - PAINEIRA";"40.5-2";"L"
114610;"CHACARA DAS PEDRAS - PAINEIRA";"40.5-1";"L"
114609;"PETROPOLIS / FAPA";"40.41-2";"L"
114608;"PETROPOLIS / FAPA";"40.41-1";"L"
114607;"PETROPOLIS/SESC";"40.4-2";"L"
114606;"PETROPOLIS/SESC";"40.4-1";"L"
114605;"JOAO ABOTT";"40.2-2";"L"
114604;"JOAO ABOTT";"40.2-1";"L"
114603;"SANTANA/SÁBADOS";"30.31-1";"L"
114602;"SANTANA/SÁBADOS";"30.31-2";"L"
114601;"SANTANA";"30.3-2";"L"
114600;"SANTANA";"30.3-1";"L"
114599;"PARTENON/PINHEIRO/CAMPUS";"30.21-2";"L"
114598;"PARTENON/PINHEIRO/CAMPUS";"30.21-1";"L"
114597;"PARTENON/PINHEIRO";"30.2-2";"L"
114596;"PARTENON/PINHEIRO";"30.2-1";"L"
114595;"CANAL 10 VIA APARÍCIO BORGES/ANTONIO RIBEIRO";"30.11-2";"L"
114594;"CANAL 10 VIA APARÍCIO BORGES/ANTONIO RIBEIRO";"30.11-1";"L"
114593;"CANAL 10 VIA APARÍCIO BORGES";"30.1-2";"L"
114592;"CANAL 10 VIA APARÍCIO BORGES";"30.1-1";"L"
114591;"GLORIA";"20.6-2";"L"
114590;"GLORIA";"20.6-1";"L"
114589;"ALTO TERESOPOLIS - VIA PRAIA DE BELAS";"20.5-2";"L"
114588;"ALTO TERESOPOLIS - VIA PRAIA DE BELAS";"20.5-1";"L"
114587;"VILA NOVA - PRAIA DE BELAS";"20.4-2";"L"
114586;"VILA NOVA - PRAIA DE BELAS";"20.4-1";"L"
114585;"OTTO/TERESÓPOLIS";"20.2-2";"L"
114584;"OTTO/TERESÓPOLIS";"20.2-1";"L"
114583;"MEDIANEIRA / MORRO SAO CAETANO";"20.11-2";"L"
114582;"MEDIANEIRA / MORRO SAO CAETANO";"20.11-1";"L"
114581;"MEDIANEIRA";"20.1-2";"L"
114580;"MEDIANEIRA";"20.1-1";"L"
114579;"GUARUJA - CAVALHADA";"10.51-2";"L"
