"idlinha";"idparada"
127621;124
127621;127
127621;129
127621;130
127621;141
127621;143
127621;145
127621;149
127621;154
127621;279
127621;284
127621;287
127621;305
127621;307
127621;313
127621;316
127621;325
127621;327
127621;336
127621;405
127621;408
127621;412
127621;419
127621;420
127621;434
127621;454
127621;456
127621;459
127621;493
127621;495
127621;498
127621;499
127621;524
127621;531
127621;535
127621;537
127621;554
127621;559
127621;563
127621;621
127621;623
127621;625
127621;627
127621;630
127621;632
127621;643
127621;654
127621;659
127621;665
127621;674
127621;676
127621;678
127621;682
127621;684
127621;686
127621;765
127621;828
127621;830
127621;840
127621;844
127621;850
127621;852
127621;854
127621;871
127621;875
127621;1052
127621;1054
127621;1062
127621;1064
127621;1323
127621;1326
127621;1327
127621;1340
127621;1341
127621;1345
127621;1346
127621;1423
127621;1427
127621;1446
127621;1451
127621;1454
127621;1512
127621;1536
127621;1540
127621;1555
127621;1564
127621;1576
127621;5099
127621;5155
127621;5325
127621;5527
127621;5529
127621;5645
127621;5837
127621;5902
127622;125
127622;126
127622;128
127622;131
127622;140
127622;142
127622;144
127622;146
127622;150
127622;153
127622;155
127622;280
127622;288
127622;299
127622;306
127622;314
127622;317
127622;321
127622;324
127622;326
127622;337
127622;406
127622;407
127622;411
127622;417
127622;418
127622;421
127622;433
127622;435
127622;453
127622;455
127622;458
127622;460
127622;489
127622;492
127622;494
127622;496
127622;497
127622;521
127622;525
127622;536
127622;553
127622;562
127622;622
127622;626
127622;628
127622;629
127622;631
127622;633
127622;642
127622;644
127622;655
127622;658
127622;666
127622;675
127622;677
127622;680
127622;683
127622;685
127622;766
127622;829
127622;839
127622;842
127622;849
127622;851
127622;853
127622;870
127622;874
127622;1051
127622;1053
127622;1061
127622;1065
127622;1321
127622;1339
127622;1342
127622;1344
127622;1347
127622;1425
127622;1433
127622;1449
127622;1452
127622;1511
127622;1512
127622;1535
127622;1554
127622;1563
127622;1566
127622;5154
127622;5162
127622;5177
127622;5178
127622;5227
127622;5303
127622;5415
127622;5458
127622;5527
127622;5529
127622;5836
127623;124
127623;127
127623;129
127623;130
127623;141
