"idparada";"codigo";"longitude";"latitude";"terminal"
818;"4001";-51,23607900000000000;-30,10455600000000000;"N"
820;"4002";-51,23660400000000000;-30,10340000000000000;"N"
826;"3947";-51,23518300000000000;-30,10112500000000000;"N"
831;"3925";-51,24919800000000000;-30,09172300000000000;"N"
845;"3927";-51,24832300000000000;-30,08831800000000000;"N"
846;"3928";-51,24822100000000000;-30,08824700000000000;"N"
856;"3938";-51,24075200000000000;-30,09622600000000000;"N"
857;"3939";-51,23981600000000000;-30,09606400000000000;"N"
858;"3944";-51,23697600000000000;-30,09703200000000000;"N"
859;"3943";-51,23721500000000000;-30,09657300000000000;"N"
860;"3940";-51,23887100000000000;-30,09575300000000000;"N"
861;"3941";-51,23845100000000000;-30,09573200000000000;"N"
862;"3942";-51,23742900000000000;-30,09572900000000000;"N"
869;"2930";-51,23336200000000000;-30,09274500000000000;"N"
873;"2956";-51,23855400000000000;-30,08649900000000000;"N"
874;"3674";-51,24061400000000000;-30,08511900000000000;"N"
876;"3681";-51,24089200000000000;-30,08216700000000000;"N"
877;"3683";-51,23940500000000000;-30,08305900000000000;"N"
881;"3685";-51,23792400000000000;-30,08350900000000000;"N"
882;"2955";-51,23690300000000000;-30,08714000000000000;"N"
883;"2957";-51,23643400000000000;-30,08690300000000000;"N"
885;"2960";-51,23418100000000000;-30,08686000000000000;"N"
886;"2959";-51,23409600000000000;-30,08685600000000000;"N"
887;"3686";-51,23574700000000000;-30,08355800000000000;"N"
889;"2961";-51,23389200000000000;-30,08566000000000000;"N"
890;"2962";-51,23379800000000000;-30,08562300000000000;"N"
891;"2963";-51,23316200000000000;-30,08442400000000000;"N"
892;"2964";-51,23304000000000000;-30,08423300000000000;"N"
893;"3688";-51,23395100000000000;-30,08314900000000000;"N"
894;"3689";-51,23407300000000000;-30,08246100000000000;"N"
896;"4027";-51,23096800000000000;-30,11076100000000000;"N"
897;"4029";-51,23049100000000000;-30,11285200000000000;"N"
904;"4039";-51,23019100000000000;-30,10976300000000000;"N"
906;"4033";-51,22801000000000000;-30,11431400000000000;"N"
914;"4026";-51,22870400000000000;-30,10961600000000000;"N"
919;"4330";-51,22572200000000000;-30,11019500000000000;"N"
920;"4291";-51,22540800000000000;-30,10702200000000000;"N"
926;"3948";-51,23192800000000000;-30,10183400000000000;"N"
929;"3950";-51,23172600000000000;-30,09957100000000000;"N"
935;"3788";-51,22896700000000000;-30,09932400000000000;"N"
936;"4290";-51,22729400000000000;-30,10606600000000000;"N"
937;"4289";-51,22780200000000000;-30,10421800000000000;"N"
939;"4283";-51,22515900000000000;-30,10513600000000000;"N"
941;"4287";-51,22824200000000000;-30,10206600000000000;"N"
942;"4286";-51,22835500000000000;-30,10172000000000000;"N"
944;"3785";-51,22819500000000000;-30,09950100000000000;"N"
946;"4285";-51,22636000000000000;-30,10207200000000000;"N"
950;"4327";-51,22208900000000000;-30,11267600000000000;"N"
951;"4331";-51,22401800000000000;-30,10942900000000000;"N"
952;"4332";-51,22281100000000000;-30,10966300000000000;"N"
954;"4292";-51,22277200000000000;-30,10740700000000000;"N"
956;"4333";-51,22129100000000000;-30,10988000000000000;"N"
966;"4334";-51,22029800000000000;-30,10974600000000000;"N"
982;"3757";-51,22983300000000000;-30,09624400000000000;"N"
983;"3756";-51,22921800000000000;-30,09439200000000000;"N"
984;"2940";-51,22887100000000000;-30,09415700000000000;"N"
986;"2939";-51,23094900000000000;-30,09351100000000000;"N"
987;"3804";-51,23099900000000000;-30,09120900000000000;"N"
988;"3801";-51,23041300000000000;-30,09375500000000000;"N"
989;"3802";-51,22984100000000000;-30,09229900000000000;"N"
990;"3803";-51,23022700000000000;-30,09055900000000000;"N"
996;"2927";-51,22650300000000000;-30,09479200000000000;"N"
1000;"3805";-51,22772400000000000;-30,09169500000000000;"N"
1001;"3806";-51,22682400000000000;-30,09087700000000000;"N"
1003;"2965";-51,23192600000000000;-30,08347900000000000;"N"
1004;"2966";-51,23167600000000000;-30,08319800000000000;"N"
1005;"3752";-51,22922000000000000;-30,08473200000000000;"N"
1007;"2968";-51,22967200000000000;-30,08227100000000000;"N"
1009;"3809";-51,22600000000000000;-30,08912500000000000;"N"
1010;"3810";-51,22628900000000000;-30,08873300000000000;"N"
1011;"3811";-51,22615800000000000;-30,08774400000000000;"N"
1012;"3812";-51,22553900000000000;-30,08745000000000000;"N"
1013;"3751";-51,22752500000000000;-30,08381900000000000;"N"
1023;"3841";-51,21677900000000000;-30,09349200000000000;"N"
1024;"3840";-51,21681600000000000;-30,09342500000000000;"N"
1026;"3814";-51,22353200000000000;-30,08643100000000000;"N"
1032;"3816";-51,22187500000000000;-30,08536800000000000;"N"
1033;"3817";-51,22158300000000000;-30,08526700000000000;"N"
1038;"3835";-51,21649300000000000;-30,08919300000000000;"N"
1045;"3822";-51,21746000000000000;-30,08215900000000000;"N"
1046;"3823";-51,21729400000000000;-30,08211300000000000;"N"
1049;"4233";-51,21600800000000000;-30,14564800000000000;"N"
1055;"4235";-51,21556700000000000;-30,14306200000000000;"N"
